image_id,expected_object,source,device,model,detected_objects,primary_detection,primary_confidence_percent,inference_ms,status,notes
01,mochila/bolsa,dataset,emulador,YOLO26n Float32,bolsa,bolsa,91,465,correto,"Detecção correta."
01,mochila/bolsa,dataset,emulador,YOLO26n Float16,bolsa,bolsa,91,430,correto,"Detecção correta com mesmo nível de confiança do Float32."
02,régua,dataset,emulador,YOLO26n Float32,régua,régua,90,476,correto,"Detecção correta."
02,régua,dataset,emulador,YOLO26n Float16,régua,régua,90,376,correto,"Detecção correta com mesmo nível de confiança do Float32."
03,cadeira,dataset,emulador,YOLO26n Float32,cadeira,cadeira,94,439,correto,"Detecção correta."
03,cadeira,dataset,emulador,YOLO26n Float16,cadeira,cadeira,94,888,correto,"Detecção correta; tempo possivelmente influenciado por variação/aquecimento do emulador."
04,tesoura,dataset,emulador,YOLO26n Float32,tesoura,tesoura,98,444,correto,"Detecção correta."
04,tesoura,dataset,emulador,YOLO26n Float16,tesoura,tesoura,98,435,correto,"Detecção correta com tempo semelhante ao Float32."
05,apontador,dataset,emulador,YOLO26n Float32,"apontador; borracha",apontador,94,466,correto_com_deteccao_extra,"Detectou apontador corretamente, mas também retornou borracha como detecção secundária."
05,apontador,dataset,emulador,YOLO26n Float16,"apontador; borracha",apontador,94,467,correto_com_deteccao_extra,"Mesmo comportamento do Float32; detectou apontador corretamente e retornou borracha como detecção secundária."
